,Product Name,Category,Company Name,URL to Capterra Page
71,Datadeck,data center management software , Ptmind,www.capterra.com/p/171239/DataDeck/
72,Sematext Cloud,data center management software , Sematext Group,www.capterra.com/p/166479/Sematext-Cloud/
73,TrueSight Automation for Servers,data center management software , BMC Software,www.capterra.com/p/149668/BladeLogic-Server-Automation/
74,Cisco Data Center,data center management software , Cisco,www.capterra.com/p/150131/Cisco-Data-Center/
75,AOS,data center management software , Nutanix,www.capterra.com/p/148356/AOS/
76,"NetZoom, Inc.",data center management software , NetZoom,www.capterra.com/p/186384/NetZoom-Enterprise/
77,DCImanager,data center management software , ISPsystem,www.capterra.com/p/160639/DCImanager/
78,CloudMonix,data center management software , Paraleap Technologies,www.capterra.com/p/142060/CloudMonix/
79,Applixure,data center management software , Applixure,www.capterra.com/p/200502/Applixure/
80,SolidFire,data center management software , NetApp,www.capterra.com/p/158531/SolidFire/
81,cfxPulse,data center management software , CloudFabrix,www.capterra.com/p/181644/cfxPulse/
82,Symantec Data Center Security,data center management software , Broadcom,www.capterra.com/p/32113/Symantec-Data-Center-Security/
83,inteliPhy net,data center management software , R&M,www.capterra.com/p/198554/inteliPhy-net/
84,Ubersmith,data center management software , Ubersmith,www.capterra.com/p/116688/Ubersmith-DE/
85,WIP Manager,data center management software , WIP Software,www.capterra.com/p/167192/WIP-Manager/
86,XpedITe,data center management software , RiT Tech,www.capterra.com/p/189343/XpedITe/
87,BindPlane,data center management software , Blue Medora,www.capterra.com/p/181605/BindPlane/
88,Double-Take,data center management software , Vision Solutions,www.capterra.com/p/33973/Double-Take/
89,Triton,data center management software , Joyent,www.capterra.com/p/156304/Triton/
90,Nightfall DLP,data discovery software , Nightfall AI,www.capterra.com/p/211481/Nightfall-DLP/#reviews
91,ADAudit Plus,data discovery software , ManageEngine,www.capterra.com/p/210774/ADAudit-Plus/
92,Bold BI,data discovery software , Syncfusion,www.capterra.com/p/170501/Bold-BI/#reviews
93,Tableau,data discovery software , Tableau,www.capterra.com/p/202665/Tableau/
94,ibi,data discovery software ,ibi,www.capterra.com/p/118/WebFOCUS/
95,Wolfram Mathematica,data discovery software , Wolfram,www.capterra.com/p/171048/Wolfram-Mathematica/
96,TIBCO Spotfire,data discovery software ,TIBCO Software,www.capterra.com/p/81277/TIBCO-Spotfire/
97,TARGIT Decision Suite,data discovery software , TARGIT,www.capterra.com/p/68488/TARGIT-BI-Suite/
98,SAS Visual Analytics,data discovery software ,SAS Institute,www.capterra.com/p/127/SAS-Business-Intelligence/
99,Commvault Complete Backup & Recovery,data discovery software , Commvault,www.capterra.com/p/168602/Email-Archive/
100,Explorium,data discovery software , Explorium,www.capterra.com/p/200347/Explorium/
101,Boldon James Email Classifier,data discovery software , Boldon James,www.capterra.com/p/119713/Boldon-James-Email-Classifier/
102,DISCO,data discovery software , CS Disco,www.capterra.com/p/156704/DISCO/
103,Serenytics,data discovery software , Serenytics,www.capterra.com/p/203670/Serenytics/
104,Acterys,data discovery software , Managility,www.capterra.com/p/177942/Acterys/
105,Oracle Analytics Cloud,data discovery software ,Oracle,www.capterra.com/p/170920/Big-Data-Discovery/
106,FileFacets,data discovery software , FileFacets,www.capterra.com/p/148455/FileFacets/
107,Sensitive Data Discovery Tool,data discovery software , HushHush,www.capterra.com/p/206440/Sensitive-Data-Discovery-Tool/
108,Sherlock,data discovery software , Fischer Information Technology,www.capterra.com/p/202558/Sherlock/
109,Atlan,data discovery software , Atlan,www.capterra.com/p/185548/Atlan/
110,DataSecurity Plus,data discovery software , ManageEngine,www.capterra.com/p/201796/DataSecurity-Plus/
111,ElectroNeek Studio IDE,data entry software , ElectroNeek Robotics,www.capterra.com/p/183324/electroNeek-RPA/
112,OmPrompt Order Management,data entry software , OmPrompt,www.capterra.com/p/207483/OmPrompt-Order-Management-Solutions/#reviews
113,UiPath Robotic Process Automation,data entry software , UiPath,www.capterra.com/p/135186/UiPath-Robotic-Process-Automation/
114,Wolfram Mathematica,data entry software , Wolfram,www.capterra.com/p/171048/Wolfram-Mathematica/
115,Snappii,data entry software , Snappii Apps,www.capterra.com/p/141324/Snappii-Mobile-Apps/
116,Winautomation,data entry software , Softomotive,www.capterra.com/p/128942/Winautomation/
117,Covve,data entry software , Covve,www.capterra.com/p/148026/Covve/
118,Capture 3.0,data entry software , RingLead,www.capterra.com/p/168832/RingLead/
119,Nintex RPA,data entry software , Nintex,www.capterra.com/p/212080/Nintex-RPA/
120,SaasAnt Transactions Desktop,data entry software , SaasAnt,www.capterra.com/p/184336/SaasAnt-Transactions/
121,PaperSurvey,data entry software , Mygtukynas,www.capterra.com/p/183252/PaperSurvey/
122,Teamscope,data entry software , Teamscope,www.capterra.com/p/179110/Teamscope/
123,Zed Axis,data entry software , Zed-Systems,www.capterra.com/p/162196/Zed-Axis/
124,Kofax Capture,data entry software , Kofax,www.capterra.com/p/93092/Kofax-Capture/
125,MoreApp Forms,data entry software , MoreApp,www.capterra.com/p/141864/MoreApp-Forms/
126,Automate RPA,data entry software , HelpSystems,www.capterra.com/p/198568/Automate-RPA/
127,Ratchet-X Desktop RPA,data entry software , RatchetSoft,www.capterra.com/p/78119/Ratchet-X-Desktop-RPA/
128,EpiData Entry,data entry software , EpiData,www.capterra.com/p/107006/EpiData-Entry/
129,Zerion Software,data entry software , Zerion Software,www.capterra.com/p/155402/iFormBuilder/
130,Docsumo,data entry software , Docsumo,www.capterra.com/p/183875/Docsumo/
131,eZ Credit Card Import,data entry software , Zachary Systems,www.capterra.com/p/213244/eZ-Credit-Card-Import/
132,MPS IntelliVector,data entry software , Multipass Solutions,www.capterra.com/p/159812/MPS-IntelliVector/
133,Appen,data entry software , Appen,www.capterra.com/p/210755/Appen/
134,Introhive,data entry software , Introhive,www.capterra.com/p/160333/Introhive/
135,DocuClipper,data entry software , DocuClipper,www.capterra.com/p/190941/DocuClipper/
136,FunnelFox,data entry software , FunnelFox,www.capterra.com/p/170040/Thrive-for-Email/
137,Unibase,data entry software , DMAC,www.capterra.com/p/93110/Unibase/
138,UniCourt,data entry software , UniCourt,www.capterra.com/p/154870/UniCourt/
139,uProc,data entry software , Killia Technologies,www.capterra.com/p/164160/uProc/
140,SWING PDF Converter,data extraction software , SWING Software,www.capterra.com/p/94948/SWING-PDF-Converter/
141,ElectroNeek Studio IDE,data extraction software , ElectroNeek Robotics,www.capterra.com/p/183324/electroNeek-RPA/
142,Skuuudle,data extraction software , Skuuudle,www.capterra.com/p/171527/Skuuudle/
143,Batch Data Collector,data extraction software , Batch Data Collector,www.capterra.com/p/209952/Batch-Data-Collector/#reviews
144,Parsey,data extraction software , LEAP,www.capterra.com/p/196420/Parsey/
145,Infrrd OCR,data extraction software , Infrrd,www.capterra.com/p/159479/Infrrd/#reviews
146,UiPath Robotic Process Automation,data extraction software , UiPath,www.capterra.com/p/135186/UiPath-Robotic-Process-Automation/
147,ScrapeStorm,data extraction software , Kuaiyi Technology,www.capterra.com/p/176808/ScrapeStorm/
148,WebHarvy,data extraction software , SysNucleus,www.capterra.com/p/146258/WebHarvy/
149,Octoparse,data extraction software , Octopus Data,www.capterra.com/p/150508/Octoparse/
150,Hubdoc,data extraction software , Hubdoc,www.capterra.com/p/165724/Hubdoc/
151,Winautomation,data extraction software , Softomotive,www.capterra.com/p/128942/Winautomation/
152,Covve Scan,data extraction software , Covve,www.capterra.com/p/200138/Business-Card-Scanner/
153,Parseur,data extraction software , Parseur,www.capterra.com/p/158536/Parseur/
154,Phantombuster,data extraction software , Phantombuster,www.capterra.com/p/173165/Phantombuster/
155,Mozenda,data extraction software , Mozenda,www.capterra.com/p/102193/Mozenda/
156,Luminati,data extraction software , Luminati Networks,www.capterra.com/p/208755/Luminati/
157,Salestools.io,data extraction software , Salestools.io,www.capterra.com/p/150787/Salestools-io/
158,Ephesoft Transact,data extraction software , Ephesoft,www.capterra.com/p/149079/Smart-Capture/
159,import.io,data extraction software , import.io,www.capterra.com/p/135185/import-io/
160,Hevo,data extraction software , Hevo Data,www.capterra.com/p/176435/Hevo/
161,HealthData Archiver®,data extraction software , Harmony Healthcare IT,www.capterra.com/p/126381/Health-Data-Archiver/
162,Diggernaut,data extraction software , Diggernaut,www.capterra.com/p/155644/Diggernaut/
163,dexi.io,data extraction software , dexi.io,www.capterra.com/p/141533/dexi-io/
164,Kofax Capture,data extraction software , Kofax,www.capterra.com/p/93092/Kofax-Capture/
165,ParseHub,data extraction software , ParseHub,www.capterra.com/p/145965/ParseHub/
166,Datahut,data extraction software , Datahut,www.capterra.com/p/154360/Datahut/
167,Automate RPA,data extraction software , HelpSystems,www.capterra.com/p/198568/Automate-RPA/
168,WebAutomation,data extraction software , WebAutomation,www.capterra.com/p/209135/WebAutomation/
169,SSIS Data Flow Components,data extraction software , Devart,www.capterra.com/p/196326/SSIS-Data-Flow-Components/
170,PromptCloud,data extraction software , PromptCloud,www.capterra.com/p/153968/PromptCloud/
171,uCrawler,data extraction software , uCrawler,www.capterra.com/p/186866/uCrawler/
172,Keeper,data extraction software , Grafiti,www.capterra.com/p/202548/Keeper/
173,Sprinkle,data extraction software , Sprinkle Data,www.capterra.com/p/208499/Sprinkle/
174,Docsumo,data extraction software , Docsumo,www.capterra.com/p/183875/Docsumo/
175,TextConverter 4,data extraction software , SiMX,www.capterra.com/p/160839/TextConverter-4/
176,Vaultedge AI,data extraction software , Vaultedge Software,www.capterra.com/p/200338/Vaultedge-AI/
177,Parserr,data extraction software , Parserr,www.capterra.com/p/160923/Parserr/
178,Iguana,data extraction software , iNTERFACEWARE,www.capterra.com/p/83071/Iguana/
179,Striim,data extraction software , Striim,www.capterra.com/p/173369/Striim/
180,Webhose.io,data extraction software , Webhose.io,www.capterra.com/p/139176/Webhose-io/
181,ScrapeHero,data extraction software , ScrapeHero,www.capterra.com/p/152963/ScrapeHero/
182,WebSpiderMount,data extraction software , Aspen Technology Labs,www.capterra.com/p/184435/Web-Data-Management-Suite/
183,PDF Image Extractor,data extraction software , SoftSpire,www.capterra.com/p/145299/PDF-Image-Extractor/
184,Dataddo,data extraction software , Dataddo,www.capterra.com/p/141592/Dataddo/
